id,visit_date,visit_datetime,reserve_datetime,reserve_visitors
db80363d35f10926,2016-01-01,2016-01-01 00:00:00,2016-01-01 01:00:00,5
db80363d35f10926,2016-01-02,2016-01-02 01:00:00,2016-01-01 16:00:00,2
db80363d35f10926,2016-01-02,2016-01-02 01:00:00,2016-01-01 15:00:00,4
db80363d35f10926,2016-01-02,2016-01-02 18:00:00,2016-01-02 14:00:00,2
db80363d35f10926,2016-01-02,2016-01-02 18:00:00,2016-01-02 02:00:00,3
db80363d35f10926,2016-01-02,2016-01-02 19:00:00,2016-01-02 02:00:00,6
db80363d35f10926,2016-01-02,2016-01-02 19:00:00,2016-01-02 18:00:00,2
db80363d35f10926,2016-01-02,2016-01-02 21:00:00,2016-01-02 18:00:00,4
db80363d35f10926,2016-01-02,2016-01-02 21:00:00,2016-01-02 18:00:00,8
db80363d35f10926,2016-01-02,2016-01-02 21:00:00,2016-01-02 16:00:00,3
db80363d35f10926,2016-01-03,2016-01-03 18:00:00,2016-01-02 22:00:00,5
db80363d35f10926,2016-01-03,2016-01-03 18:00:00,2016-01-02 20:00:00,6
db80363d35f10926,2016-01-03,2016-01-03 22:00:00,2016-01-02 22:00:00,6
24b9b2a020826ede,2016-01-04,2016-01-04 17:00:00,2016-01-04 14:00:00,7
3cad29d1a23209d2,2016-01-06,2016-01-06 18:00:00,2016-01-06 13:00:00,4
3cad29d1a23209d2,2016-01-06,2016-01-06 18:00:00,2016-01-04 14:00:00,2
3cad29d1a23209d2,2016-01-06,2016-01-06 18:00:00,2016-01-05 11:00:00,4
632ba66e1f75aa28,2016-01-06,2016-01-06 19:00:00,2016-01-06 15:00:00,2
632ba66e1f75aa28,2016-01-06,2016-01-06 19:00:00,2016-01-06 15:00:00,2
db80363d35f10926,2016-01-06,2016-01-06 20:00:00,2016-01-05 18:00:00,2
db80363d35f10926,2016-01-06,2016-01-06 20:00:00,2016-01-04 22:00:00,3
24b9b2a020826ede,2016-01-07,2016-01-07 17:00:00,2016-01-06 22:00:00,5
24b9b2a020826ede,2016-01-07,2016-01-07 17:00:00,2016-01-06 18:00:00,2
24b9b2a020826ede,2016-01-08,2016-01-08 16:00:00,2016-01-04 19:00:00,10
db80363d35f10926,2016-01-08,2016-01-08 19:00:00,2016-01-07 22:00:00,6
db80363d35f10926,2016-01-08,2016-01-08 19:00:00,2016-01-07 20:00:00,14
632ba66e1f75aa28,2016-01-08,2016-01-08 20:00:00,2016-01-08 18:00:00,2
632ba66e1f75aa28,2016-01-08,2016-01-08 20:00:00,2016-01-07 18:00:00,2
632ba66e1f75aa28,2016-01-08,2016-01-08 20:00:00,2016-01-08 17:00:00,2
3cad29d1a23209d2,2016-01-08,2016-01-08 21:00:00,2016-01-06 16:00:00,2
